gas used, block number, num trades
273939, 1271, 0
144970, 1272, 0
136473, 1273, 0
136473, 1274, 0
136339, 1275, 0
138377, 1276, 0
143654, 1277, 0
136339, 1278, 0
145897, 1279, 0
138243, 1280, 0
145106, 1281, 0
143520, 1282, 0
138377, 1283, 0
149592, 1284, 0
138377, 1285, 0
138377, 1286, 0
147349, 1287, 0
156321, 1288, 0
145763, 1289, 0
142863, 1290, 0
154078, 1291, 0
156321, 1292, 0
151835, 1293, 0
158564, 1294, 0
144972, 1295, 0
138243, 1296, 0
158564, 1297, 0
160807, 1298, 0
158564, 1299, 0
178751, 1300, 0
151835, 1301, 0
156321, 1302, 0
169779, 1303, 0
154078, 1304, 0
176508, 1305, 0
144972, 1306, 0
138377, 1307, 0
187723, 1308, 0
142863, 1309, 0
192209, 1310, 0
183237, 1311, 0
149458, 1312, 0
163050, 1313, 0
145106, 1314, 0
172022, 1315, 0
160807, 1316, 0
196695, 1317, 0
205667, 1318, 0
183237, 1319, 0
222159, 1320, 0
205667, 1321, 0
156187, 1322, 0
142729, 1323, 0
223611, 1324, 0
147215, 1325, 0
228888, 1326, 0
201181, 1327, 0
225854, 1328, 0
187723, 1329, 0
234826, 1330, 0
147349, 1331, 0
142729, 1332, 0
187723, 1333, 0
196695, 1334, 0
239312, 1335, 0
248284, 1336, 0
142863, 1337, 0
151835, 1338, 0
255804, 1339, 0
162916, 1340, 0
151835, 1341, 0
225854, 1342, 0
257256, 1343, 0
178751, 1344, 0
196695, 1345, 0
268471, 1346, 0
268471, 1347, 0
172022, 1348, 0
169779, 1349, 0
149592, 1350, 0
223611, 1351, 0
212396, 1352, 0
180994, 1353, 0
212396, 1354, 0
138377, 1355, 0
158430, 1356, 0
216882, 1357, 0
234826, 1358, 0
263985, 1359, 0
263985, 1360, 0
174265, 1361, 0
266228, 1362, 0
167536, 1363, 0
167536, 1364, 0
275200, 1365, 0
194452, 1366, 0
160673, 1367, 0
138243, 1368, 0
299873, 1369, 0
266228, 1370, 0
144972, 1371, 0
297630, 1372, 0
302116, 1373, 0
158564, 1374, 0
207910, 1375, 0
140486, 1376, 0
201181, 1377, 0
142729, 1378, 0
198938, 1379, 0
266228, 1380, 0
290901, 1381, 0
180994, 1382, 0
317817, 1383, 0
252770, 1384, 0
228097, 1385, 0
257256, 1386, 0
342490, 1387, 0
252770, 1388, 0
145106, 1389, 0
183237, 1390, 0
154078, 1391, 0
304359, 1392, 0
286415, 1393, 0
162916, 1394, 0
151835, 1395, 0
187723, 1396, 0
203424, 1397, 0
367163, 1398, 0
138243, 1399, 0
142729, 1400, 0
167536, 1401, 0
275200, 1402, 0
243798, 1403, 0
136339, 1404, 0
232583, 1405, 0
158430, 1406, 0
346976, 1407, 0
378378, 1408, 0
185346, 1409, 0
153944, 1410, 0
153944, 1411, 0
246041, 1412, 0
178751, 1413, 0
371649, 1414, 0
158430, 1415, 0
205667, 1416, 0
376135, 1417, 0
183103, 1418, 0
322303, 1419, 0
169779, 1420, 0
342490, 1421, 0
216882, 1422, 0
176508, 1423, 0
250527, 1424, 0
302116, 1425, 0
360434, 1426, 0
295387, 1427, 0
194452, 1428, 0
299873, 1429, 0
324546, 1430, 0
243798, 1431, 0
322303, 1432, 0
333518, 1433, 0
149458, 1434, 0
288658, 1435, 0
205533, 1436, 0
221368, 1437, 0
207776, 1438, 0
165293, 1439, 0
196695, 1440, 0
281929, 1441, 0
279686, 1442, 0
420995, 1443, 0
396322, 1444, 0
158564, 1445, 0
154078, 1446, 0
284172, 1447, 0
340247, 1448, 0
160673, 1449, 0
376135, 1450, 0
149458, 1451, 0
362677, 1452, 0
353705, 1453, 0
275200, 1454, 0
353705, 1455, 0
259499, 1456, 0
355948, 1457, 0
302116, 1458, 0
346976, 1459, 0
171888, 1460, 0
302116, 1461, 0
454640, 1462, 0
160673, 1463, 0
189966, 1464, 0
248284, 1465, 0
176508, 1466, 0
169779, 1467, 0
311088, 1468, 0
165095, 1469, 0
326789, 1470, 0
140486, 1471, 0
342490, 1472, 0
187723, 1473, 0
203226, 1474, 0
481556, 1475, 0
140486, 1476, 0
250527, 1477, 0
360434, 1478, 0
154078, 1479, 0
205533, 1480, 0
317817, 1481, 0
349219, 1482, 0
420995, 1483, 0
237069, 1484, 0
194318, 1485, 0
277443, 1486, 0
225720, 1487, 0
286415, 1488, 0
210153, 1489, 0
169779, 1490, 0
441182, 1491, 0
409780, 1492, 0
346976, 1493, 0
210019, 1494, 0
198804, 1495, 0
315574, 1496, 0
246041, 1497, 0
409780, 1498, 0
436696, 1499, 0
396322, 1500, 0
246041, 1501, 0
286415, 1502, 0
297630, 1503, 0
340247, 1504, 0
183237, 1505, 0
154078, 1506, 0
486042, 1507, 0
342490, 1508, 0
172022, 1509, 0
219125, 1510, 0
396322, 1511, 0
234692, 1512, 0
266228, 1513, 0
373892, 1514, 0
230206, 1515, 0
391836, 1516, 0
515201, 1517, 0
557818, 1518, 0
187589, 1519, 0
138377, 1520, 0
194452, 1521, 0
266228, 1522, 0
447911, 1523, 0
290901, 1524, 0
203424, 1525, 0
162916, 1526, 0
151701, 1527, 0
203424, 1528, 0
196497, 1529, 0
573519, 1530, 0
315574, 1531, 0
163050, 1532, 0
362677, 1533, 0
329032, 1534, 0
317817, 1535, 0
308845, 1536, 0
219125, 1537, 0
156123, 1538, 0
495014, 1539, 0
443425, 1540, 0
232583, 1541, 0
571276, 1542, 0
275200, 1543, 0
618379, 1544, 0
147349, 1545, 0
203290, 1546, 0
140620, 1547, 0
521930, 1548, 0
342490, 1549, 0
495014, 1550, 0
564547, 1551, 0
180860, 1552, 0
279686, 1553, 0
571276, 1554, 0
281929, 1555, 0
153944, 1556, 0
414266, 1557, 0
257122, 1558, 0
210153, 1559, 0
533145, 1560, 0
297630, 1561, 0
329032, 1562, 0
239312, 1563, 0
512958, 1564, 0
613893, 1565, 0
172022, 1566, 0
198938, 1567, 0
255013, 1568, 0
571276, 1569, 0
367163, 1570, 0
616136, 1571, 0
344733, 1572, 0
465855, 1573, 0
578005, 1574, 0
185282, 1575, 0
205469, 1576, 0
676697, 1577, 0
158564, 1578, 0
284172, 1579, 0
560061, 1580, 0
329032, 1581, 0
611650, 1582, 0
138377, 1583, 0
313331, 1584, 0
380621, 1585, 0
160807, 1586, 0
382864, 1587, 0
490528, 1588, 0
329032, 1589, 0
136339, 1590, 0
210019, 1591, 0
174265, 1592, 0
387350, 1593, 0
311088, 1594, 0
634080, 1595, 0
591463, 1596, 0
290901, 1597, 0
625108, 1598, 0
185480, 1599, 0
178751, 1600, 0
420995, 1601, 0
705856, 1602, 0
349219, 1603, 0
295387, 1604, 0
219125, 1605, 0
705856, 1606, 0
263851, 1607, 0
270714, 1608, 0
400808, 1609, 0
501743, 1610, 0
355948, 1611, 0
627351, 1612, 0
364920, 1613, 0
176374, 1614, 0
652024, 1615, 0
470341, 1616, 0
636323, 1617, 0
317817, 1618, 0
230340, 1619, 0
189966, 1620, 0
178617, 1621, 0
250393, 1622, 0
138377, 1623, 0
