gas used, block number, num trades
274471, 13, 0
147008, 14, 0
138511, 15, 0
231402, 16, 1
216268, 17, 1
216402, 18, 1
138963, 19, 0
292653, 20, 2
208393, 21, 1
138775, 22, 0
208393, 23, 1
144052, 24, 0
208393, 25, 1
208393, 26, 1
286294, 27, 2
208393, 28, 1
286294, 29, 2
147008, 30, 0
143315, 31, 0
216402, 32, 1
138511, 33, 0
140415, 34, 0
216412, 35, 1
142658, 36, 0
140281, 37, 0
449942, 38, 4
216412, 39, 1
140415, 40, 0
140415, 41, 0
145692, 42, 0
216402, 43, 1
138511, 44, 0
147144, 45, 0
138511, 46, 0
151630, 47, 0
216268, 48, 1
216402, 49, 1
151630, 50, 0
216402, 51, 1
153873, 52, 0
151630, 53, 0
142524, 54, 0
138511, 55, 0
294303, 56, 2
142658, 57, 0
216402, 58, 1
158359, 59, 0
162845, 60, 0
149387, 61, 0
172608, 62, 0
162845, 63, 0
147010, 64, 0
372050, 65, 3
169574, 66, 0
140281, 67, 0
172608, 68, 0
156116, 69, 0
171817, 70, 0
147144, 71, 0
178546, 72, 0
216402, 73, 1
294159, 74, 2
140415, 75, 0
149387, 76, 0
178546, 77, 0
185275, 78, 0
216402, 79, 1
216402, 80, 1
188309, 81, 0
153739, 82, 0
216402, 83, 1
162845, 84, 0
187518, 85, 0
216402, 86, 1
140415, 87, 0
196490, 88, 0
196490, 89, 0
216402, 90, 1
294303, 91, 2
216402, 92, 1
158359, 93, 0
149387, 94, 0
216402, 95, 1
147144, 96, 0
294303, 97, 2
144767, 98, 0
149387, 99, 0
165088, 100, 0
187518, 101, 0
187518, 102, 0
216402, 103, 1
187518, 104, 0
216402, 105, 1
216402, 106, 1
192004, 107, 0
216402, 108, 1
147010, 109, 0
449952, 110, 4
200976, 111, 0
174060, 112, 0
216268, 113, 1
198733, 114, 0
200976, 115, 0
216402, 116, 1
216402, 117, 1
605735, 118, 6
216402, 119, 1
683626, 120, 7
216402, 121, 1
140415, 122, 0
162845, 123, 0
216402, 124, 1
180789, 125, 0
138511, 126, 0
216402, 127, 1
140415, 128, 0
203219, 129, 0
138511, 130, 0
216402, 131, 1
294303, 132, 2
216402, 133, 1
165088, 134, 0
149387, 135, 0
140281, 136, 0
216402, 137, 1
216402, 138, 1
294303, 139, 2
214434, 140, 0
839409, 141, 9
449952, 142, 4
216402, 143, 1
138511, 144, 0
138511, 145, 0
683626, 146, 7
138511, 147, 0
216268, 148, 1
153873, 149, 0
183032, 150, 0
153739, 151, 0
138377, 152, 0
138377, 153, 0
216402, 154, 1
216402, 155, 1
171817, 156, 0
142524, 157, 0
216402, 158, 1
174060, 159, 0
151496, 160, 0
138511, 161, 0
216402, 162, 1
